Acceleration,Steering angle
0,0
0.00174,-0.23971
0.0019742,-0.24239
0.0022021,-0.23732
0.0026655,-0.22703
0.0028665,-0.21744
0.003379,-0.21643
0.0038001,-0.19703
0.0051849,-0.19759
0.0042231,-0.13281
0.0067933,-0.11124
0.0088356,-0.10118
0.0090787,-0.099535
0.009229,-0.096176
0.0090382,-0.09287
0.0084212,-0.095997
0.0099515,-0.096611
0.0098817,-0.096784
0.0096091,-0.094492
0.010368,-0.076857
0.010287,-0.077424
0.012395,-0.07452
0.022794,-0.028162
0.021927,0.055432
0.023892,0.043966
0.0077493,-0.021085
0.007464,-0.018002
0.0099039,-0.01031
0.014656,-0.016432
0.0068883,-0.025969
0.0041164,-0.041171
0.034696,-0.029705
0.025748,-0.0067131
0.029908,0.015484
0.030186,0.017191
0.035291,-0.001827
0.032267,0.0016863
0.029555,0.0029668
0.026127,0.012275
0.022885,0.0058365
0.022388,0.01204
0.020911,0.011715
0.019623,0.011828
0.018954,0.012566
0.019122,-0.0074462
0.0097864,0.010922
0.0094554,0.011759
0.0095851,0.011346
0.0093606,0.012042
0.014438,0.015145
0.013576,0.024948
0.014065,0.024763
0.0093722,0.012478
0.01116,0.03213
0.010946,0.027994
0.0091715,0.011304
0.01162,0.031661
0.011529,0.031546
0.011476,0.031306
0.0094807,0.011901
0.011893,0.031165
0.011873,0.031118
0.011907,0.030937
0.013913,0.024587
0.013453,0.013583
0.013393,0.013585
0.0097515,0.011673
0.014458,0.025152
0.013723,0.024593
0.013721,0.024713
0.014045,0.024763
0.0099292,0.010137
0.01002,0.0098449
0.010148,0.009524
0.013001,-0.0054147
0.020933,0.0098725
0.021192,0.0097351
0.021518,0.0095883
0.021827,0.0093633
0.025623,-0.012144
0.026561,0.0024329
0.026225,0.0085551
0.02566,-0.012365
0.033055,-0.0030634
0.065138,0.042026
0.02974,-0.0012023
0.028322,-0.0087768
0.027669,-0.01045
0.027756,-0.008196
0.026597,-0.0089413
0.025384,-0.009734
0.031045,-0.019222
0.024252,-0.016254
0.024257,-0.016512
0.024271,-0.016593
0.032317,-0.027988
0.024167,-0.016396
0.024181,-0.015849
0.024186,-0.01544
0.032994,-0.023838
0.024619,-0.017011
0.024103,-0.015099
0.024091,-0.014399
0.032015,-0.022468
0.024059,-0.015513
0.024041,-0.014324
0.024389,-0.013478
0.031401,-0.021368
0.02397,-0.013856
0.023829,-0.012841
0.023795,-0.012337
0.030839,-0.017672
0.023772,-0.012568
0.023739,-0.01186
0.023681,-0.011352
0.030606,-0.016331
0.023652,-0.011301
0.023607,-0.010717
0.023554,-0.010323
0.024258,-0.017824
0.023883,-0.014643
0.024202,-0.012928
0.023665,-0.011811
0.030527,-0.016127
0.023558,-0.010965
0.023488,-0.010287
0.023456,-0.0098702
0.024261,-0.017233
0.023808,-0.014163
0.023627,-0.012523
0.023575,-0.011566
0.030372,-0.015615
0.023447,-0.010457
0.023367,-0.0098191
0.023515,-0.0097678
0.024227,-0.016792
0.023723,-0.01383
0.023551,-0.012245
0.023499,-0.011304
0.024067,-0.017992
0.02372,-0.014594
0.023539,-0.012747
0.023488,-0.011678
0.030281,-0.015497
0.023332,-0.010302
0.023319,-0.0097526
0.023484,-0.0097185
0.024173,-0.016528
0.023953,-0.013339
0.023434,-0.011903
0.023361,-0.010993
0.023991,-0.017746
0.023622,-0.014407
0.023437,-0.012599
0.023374,-0.011536
0.030159,-0.015308
0.023218,-0.010123
0.023267,-0.009724
0.023449,-0.0096925
0.024092,-0.016386
0.023858,-0.013246
0.023328,-0.011825
0.023254,-0.010921
0.023917,-0.017688
0.023521,-0.014362
0.023342,-0.012564
0.023278,-0.011504
0.023843,-0.018007
0.023488,-0.014555
0.02332,-0.012677
0.023253,-0.011576
0.023802,-0.018016
0.023463,-0.014544
0.02328,-0.012656
0.023214,-0.011545
0.023786,-0.01797
0.023424,-0.014504
0.023254,-0.012616
0.023183,-0.011504
0.023766,-0.017928
0.023396,-0.01447
0.023219,-0.012586
0.023146,-0.011473
0.023731,-0.017899
0.023371,-0.014442
0.023193,-0.012566
0.02312,-0.011451
0.023711,-0.017878
0.023333,-0.014427
0.02315,-0.012549
0.023082,-0.011437
0.023683,-0.017865
0.023302,-0.014413
0.023117,-0.01254
0.023046,-0.011429
0.023639,-0.017854
0.023279,-0.014402
0.023082,-0.012532
0.02302,-0.011418
0.023631,-0.017846
0.023241,-0.014397
0.023068,-0.012527
0.022994,-0.011417
0.023593,-0.017844
0.023218,-0.01439
0.023029,-0.012524
0.022959,-0.011408
0.023575,-0.017839
0.023188,-0.014387
0.022998,-0.012522
0.02293,-0.011407
0.023542,-0.017837
0.023154,-0.014382
0.022968,-0.012518
0.022895,-0.011403
0.023504,-0.017833
0.023125,-0.014378
0.022948,-0.012515
0.022857,-0.0114
0.023484,-0.017832
0.023091,-0.014375
0.022914,-0.012512
0.02284,-0.0114
0.023474,-0.01783
0.023066,-0.014372
0.022893,-0.012512
0.022804,-0.011398
0.023444,-0.017828
0.023033,-0.01437
0.022852,-0.012506
0.022787,-0.011396
0.023403,-0.017825
0.022998,-0.014364
0.022832,-0.012503
0.022747,-0.01139
0.02336,-0.017821
0.022974,-0.014358
0.022795,-0.012501
0.022713,-0.011389
0.023336,-0.017819
0.022944,-0.014354
0.022765,-0.012498
0.022688,-0.011386
0.023312,-0.01782
0.022918,-0.014353
0.022731,-0.012499
0.022652,-0.011386
0.023285,-0.017818
0.022886,-0.014351
0.022704,-0.012497
0.022626,-0.011383
0.023243,-0.017815
0.022854,-0.014345
0.022676,-0.012489
0.022607,-0.011379
0.023231,-0.017811
0.022825,-0.014343
0.022647,-0.012491
0.022577,-0.011377
0.023212,-0.017811
0.022793,-0.014341
0.022616,-0.01249
0.022545,-0.011374
0.023179,-0.017811
0.022769,-0.014338
0.022586,-0.012486
0.02251,-0.011372
0.023146,-0.017807
0.022739,-0.014332
0.022554,-0.012481
0.02248,-0.011368
0.023118,-0.017805
0.022712,-0.014328
0.022527,-0.01248
