xRoadEnd1,yRoadEnd1,xRoadEnd2,xRoadEnd2,xTrack,yTrack
518.61,1097.4,520.61,1099.4,519.61,1098.4
518.45,1097.8,520.45,1099.8,519.45,1098.8
518.29,1098.1,520.29,1100.1,519.29,1099.1
518.13,1098.5,520.13,1100.5,519.13,1099.5
517.97,1098.9,519.97,1100.9,518.97,1099.9
517.81,1099.2,519.81,1101.2,518.81,1100.2
517.65,1099.6,519.65,1101.6,518.65,1100.6
517.48,1100,519.48,1102,518.48,1101
517.32,1100.3,519.32,1102.3,518.32,1101.3
517.16,1100.7,519.16,1102.7,518.16,1101.7
517,1101.1,519,1103.1,518,1102.1
516.84,1101.4,518.84,1103.4,517.84,1102.4
516.68,1101.8,518.68,1103.8,517.68,1102.8
516.52,1102.2,518.52,1104.2,517.52,1103.2
516.36,1102.5,518.36,1104.5,517.36,1103.5
516.19,1102.9,518.19,1104.9,517.19,1103.9
516.03,1103.3,518.03,1105.3,517.03,1104.3
515.87,1103.7,517.87,1105.7,516.87,1104.7
515.71,1104,517.71,1106,516.71,1105
515.55,1104.4,517.55,1106.4,516.55,1105.4
515.39,1104.8,517.39,1106.8,516.39,1105.8
515.23,1105.1,517.23,1107.1,516.23,1106.1
515.07,1105.5,517.07,1107.5,516.07,1106.5
514.9,1105.9,516.9,1107.9,515.9,1106.9
514.74,1106.2,516.74,1108.2,515.74,1107.2
514.58,1106.6,516.58,1108.6,515.58,1107.6
514.42,1107,516.42,1109,515.42,1108
514.26,1107.3,516.26,1109.3,515.26,1108.3
514.1,1107.7,516.1,1109.7,515.1,1108.7
513.94,1108.1,515.94,1110.1,514.94,1109.1
513.77,1108.4,515.77,1110.4,514.77,1109.4
513.61,1108.8,515.61,1110.8,514.61,1109.8
513.45,1109.2,515.45,1111.2,514.45,1110.2
513.29,1109.5,515.29,1111.5,514.29,1110.5
513.13,1109.9,515.13,1111.9,514.13,1110.9
512.97,1110.3,514.97,1112.3,513.97,1111.3
512.81,1110.6,514.81,1112.6,513.81,1111.6
512.65,1111,514.65,1113,513.65,1112
