xRoadEnd1,yRoadEnd1,xRoadEnd2,xRoadEnd2,xTrack,yTrack
472.26,619.21,474.26,621.21,473.26,620.21
472.03,623.21,474.03,625.21,473.03,624.21
471.79,627.21,473.79,629.21,472.79,628.21
471.56,631.22,473.56,633.22,472.56,632.22
471.32,635.22,473.32,637.22,472.32,636.22
471.08,639.23,473.08,641.23,472.08,640.23
470.85,643.23,472.85,645.23,471.85,644.23
470.61,647.23,472.61,649.23,471.61,648.23
470.38,651.24,472.38,653.24,471.38,652.24
470.14,655.24,472.14,657.24,471.14,656.24
469.91,659.25,471.91,661.25,470.91,660.25
469.67,663.25,471.67,665.25,470.67,664.25
469.44,667.25,471.44,669.25,470.44,668.25
469.2,671.26,471.2,673.26,470.2,672.26
468.97,675.26,470.97,677.26,469.97,676.26
468.73,679.26,470.73,681.26,469.73,680.26
468.49,683.27,470.49,685.27,469.49,684.27
468.26,687.27,470.26,689.27,469.26,688.27
468.02,691.28,470.02,693.28,469.02,692.28
467.79,695.28,469.79,697.28,468.79,696.28
467.55,699.28,469.55,701.28,468.55,700.28
467.32,703.29,469.32,705.29,468.32,704.29
467.08,707.29,469.08,709.29,468.08,708.29
466.85,711.29,468.85,713.29,467.85,712.29
466.61,715.3,468.61,717.3,467.61,716.3
466.38,719.3,468.38,721.3,467.38,720.3
466.14,723.31,468.14,725.31,467.14,724.31
465.9,727.31,467.9,729.31,466.9,728.31
465.67,731.31,467.67,733.31,466.67,732.31
465.43,735.32,467.43,737.32,466.43,736.32
465.2,739.32,467.2,741.32,466.2,740.32
464.96,743.33,466.96,745.33,465.96,744.33
464.73,747.33,466.73,749.33,465.73,748.33
464.49,751.33,466.49,753.33,465.49,752.33
464.26,755.34,466.26,757.34,465.26,756.34
464.31,759.43,466.31,761.43,465.31,760.43
465.07,763.39,467.07,765.39,466.07,764.39
465.83,767.35,467.83,769.35,466.83,768.35
466.58,771.32,468.58,773.32,467.58,772.32
467.34,775.28,469.34,777.28,468.34,776.28
468.1,779.24,470.1,781.24,469.1,780.24
468.85,783.21,470.85,785.21,469.85,784.21
469.61,787.17,471.61,789.17,470.61,788.17
470.37,791.13,472.37,793.13,471.37,792.13
471.12,795.09,473.12,797.09,472.12,796.09
471.88,799.06,473.88,801.06,472.88,800.06
472.63,803.02,474.63,805.02,473.63,804.02
473.39,806.98,475.39,808.98,474.39,807.98
474.15,810.95,476.15,812.95,475.15,811.95
474.9,814.91,476.9,816.91,475.9,815.91
475.66,818.87,477.66,820.87,476.66,819.87
476.42,822.83,478.42,824.83,477.42,823.83
477.76,826.65,479.76,828.65,478.76,827.65
