Acceleration,Steering angle
0,0
0.63114,0.010344
1.0583,-0.029681
1.1403,-0.016207
1.0248,-0.0078834
1.6262,0.010188
0.51788,-0.029478
1.1665,-0.0018718
0.21607,-0.029285
1.0366,-0.0070017
1.8031,-0.0084901
0.21059,-0.02313
0.98452,-0.0025398
1.3447,-0.012457
2.5067,0.026347
0.44664,-0.032354
0.26636,-0.02831
0.19944,-0.02504
1.0301,-0.0086584
1.0141,-0.0064109
1.0261,-0.0042424
0.16835,-0.021819
0.67037,0.0075485
0.1658,-0.026101
0.82247,-0.0027335
0.77725,0.0051391
0.18607,-0.034802
0.84386,0.0037214
0.18289,-0.035889
0.85632,0.0030924
0.18143,-0.035137
0.8197,0.0044546
0.17911,-0.035095
0.81939,0.0042831
0.17788,-0.033285
0.80705,0.0045962
0.17647,-0.032169
0.77588,0.0056542
0.17333,-0.033332
0.7891,0.0052903
0.17258,-0.03166
0.73445,0.0064591
0.42516,-0.015595
0.90354,-0.015136
0.97729,0.00075312
0.16903,-0.02598
0.32208,-0.0048124
1.6654,-0.0092334
0.1615,-0.030271
0.55227,0.016256
0.24853,-0.012633
0.25888,-0.015766
0.16374,-0.018676
0.57693,0.015741
0.27852,-0.00047792
0.34083,-0.029696
0.2951,-0.0015508
0.24302,-0.044212
0.12167,-0.033869
0.32144,0.00026325
0.2926,-0.0064184
0.87754,0.0059585
0.15488,-0.020247
0.29209,-0.00014911
0.17682,-0.014305
0.36685,-0.0092445
0.41578,0.00069692
0.15222,-0.019763
0.47885,0.011458
0.3342,0.011645
0.15837,-0.046968
0.14725,-0.021961
0.50687,0.0088993
0.14837,-0.016999
0.22174,0.0010572
0.14845,-0.016371
0.43994,0.010867
0.18239,-0.011112
0.21853,0.0031189
0.49685,-0.069663
0.32666,0.0041497
0.33106,-0.010989
0.35618,0.013317
0.18372,-0.0038432
0.18415,-0.071564
0.32896,0.00057542
0.2569,0.0079165
-0.024477,-0.002091
-0.23768,-0.0039729
-1.6297,-0.025192
-2.0212,-0.11923
-0.54078,-0.035255
-1.468,-0.094114
-1.4708,-0.048625
-2.9224,-0.17603
-0.14327,-0.058367
0.1238,-0.0039111
0.11286,-0.013992
0.11875,-0.018596
0.95516,-0.0044623
0.18813,-0.029074
0.35197,0.010899
0.20234,-0.053062
0.71252,0.0066808
0.33835,0.017019
0.11169,-0.05726
0.15674,-0.019215
0.27528,-0.0064875
0.93427,0.006485
0.15105,-0.022457
0.24669,-0.0065322
0.24172,-0.0058592
0.11403,-0.002928
0.11341,-0.002811
0.11283,-0.0027311
0.11245,-0.0027358
0.11206,-0.0027445
0.11174,-0.0027872
0.11146,-0.0031744
0.11072,-0.0040857
0.11044,-0.0027321
0.11013,-0.0027731
0.10949,-0.0038462
0.10935,-0.002782
0.1086,-0.0049318
0.10837,-0.0027084
0.10832,-0.014524
0.32553,0.011437
0.092654,-0.0052787
0.076105,-0.0022384
0.039299,-0.045401
-0.58939,-0.053446
-2.5097,-0.18502
-0.18913,-0.0039682
-0.88012,-0.071593
-0.60293,-0.051122
-0.42649,-0.044678
-0.26322,-0.053931
0.12345,-0.043282
0.71556,0.0079475
0.15222,-0.059853
0.24613,0.017217
0.31465,0.0089503
0.35619,-0.035913
0.1482,-0.029106
0.22167,-0.0038729
0.15483,-0.018918
0.34072,-0.0019751
0.11198,-0.011237
0.40895,0.0015304
0.14324,-0.02946
0.20561,-0.0053186
0.15252,-0.017712
0.32772,0.00013076
0.15317,-0.013841
0.10823,-0.0027458
0.10602,-0.0027341
0.4259,-0.00042678
0.14307,-0.023263
0.15085,-0.016286
0.11504,-0.0035394
0.045448,-0.023986
0.091984,-0.031153
0.09579,0.021873
0.48212,0.0036988
0.036249,0.019165
0.15584,0.026092
0.26833,-0.0054913
0.1851,-0.0046139
0.20038,-0.0019889
0.15478,-0.01464
0.54779,0.012081
0.18781,-0.005184
0.13201,-0.047068
0.16769,-0.010466
0.52825,0.0021825
0.13644,-0.016064
0.1658,-0.0066737
0.19296,-0.0038487
0.19023,-0.0042415
0.16576,-0.0081526
0.37705,-0.0033875
0.13138,-0.010538
0.081674,-0.0027855
0.057227,-0.007025
0.035967,-0.0037459
0.045242,0.011797
-0.53778,-0.059503
-0.14107,-0.047347
0.28236,0.00023042
0.20262,-0.043172
0.17756,-0.005375
0.074804,-0.013967
0.082888,-0.0030343
0.077785,-0.0084708
0.081329,-0.0030703
0.078715,-0.0097007
0.083177,-0.0026566
0.081014,-0.0035702
0.079069,-0.0093044
0.15637,-0.0029605
0.077867,-0.013452
0.2579,-0.00050233
0.091617,-0.035
0.10677,-0.0042811
0.15199,-0.01247
0.077965,-0.0036074
0.073872,-0.010217
0.24789,-0.00194
0.091918,-0.03198
0.098178,-0.0043737
0.071198,-0.01172
0.24538,-0.0082681
0.14422,-0.012588
0.072826,-0.0026424
0.071038,-0.0047332
0.069879,-0.0017347
0.068633,-0.0021052
0.071675,-0.0036489
0.10456,-0.0060564
0.051145,-0.0067796
-0.022501,-0.011441
-0.14101,-0.025472
-0.15914,-0.0039253
0.18193,-0.00067661
-0.0034673,0.015415
-0.27387,0.01675
0.022271,0.019214
0.00055565,0.024489
0.17196,-0.0057788
0.27985,-0.0057806
0.18615,-0.011194
0.23181,0.014076
0.12369,-0.0040013
0.054591,-0.043932
0.22482,0.010901
0.1053,-0.016268
0.18132,0.01112
0.091118,-0.021979
0.084275,-0.0063899
0.22133,-0.0007846
0.11656,-0.010968
0.094868,-0.0031901
0.060669,-0.002611
0.060402,-0.0026331
0.060526,-0.0027978
0.059753,-0.0055331
0.12824,-0.0016351
0.12282,-0.0092231
0.05773,-0.0027473
0.057111,-0.0026251
0.057154,-0.0026834
0.11811,-0.0043245
0.059867,-0.0043696
0.059245,-0.0043709
0.052697,-0.0033641
0.065775,-0.0082933
-0.17326,-0.0024587
-0.14767,-0.014426
-0.26893,0.009732
-0.22079,-0.021111
0.60053,0.0098444
0.62364,0.0051623
0.46905,-0.011039
-0.19617,0.012819
2.2859,-0.0012628
0.095242,-0.006767
0.10882,-0.0218
0.065463,-0.021254
0.10476,-0.0064015
0.16174,0.013543
0.056713,-0.024341
0.1175,0.011264
0.05915,-0.021623
0.039223,0.014051
0.12585,-0.016009
0.16314,-0.013251
0.16869,-0.0088933
0.25036,-0.031325
-0.31869,0.0035609
0.074251,-0.011689
0.12933,0.0062214
-0.046805,0.013965
-0.060872,0.021955
0.034822,-0.0082397
0.017193,0.015383
0.053911,-0.024512
0.099233,0.0064994
0.05104,-0.022907
0.095531,0.010493
0.045269,-0.024936
0.042509,-0.0066738
0.21141,0.0032143
0.07071,-0.0098541
0.062706,-0.0035636
0.10325,-0.0030365
0.16568,0.0012479
0.035532,-0.016017
0.022986,0.00072746
0.076523,-0.014473
-0.0099459,0.0054217
0.093079,-0.014717
-0.14711,-0.0028447
-0.087787,-0.014511
-0.094367,-0.012833
-0.053961,-0.0089292
0.007141,-0.0044825
-0.026288,0.014323
-0.0021346,0.0027953
0.11376,-0.0024203
0.07869,-0.00012976
0.06234,-0.011871
0.047948,-0.0052741
0.047446,0.0039172
0.025067,-0.023274
0.074354,0.00078928
-0.030118,-0.0047179
-0.088496,-0.0058859
-0.542,-0.014614
-1.2231,-0.05831
-2.3043,-0.11145
-2.9956,-0.17778
-0.11452,-0.049961
-0.69887,-0.046577
-0.64038,-0.06971
-0.25468,-0.05461
0.078193,-0.0010599
0.069752,-0.0077124
0.069595,-0.010825
0.074922,-0.012344
0.079779,-0.0016457
0.079864,-0.0080491
0.083261,-0.0078917
0.16089,-0.0043382
0.36568,-0.0042
0.15211,-0.017274
0.018012,-0.01053
0.026828,-0.025075
0.039047,-0.0011957
0.082967,0.0043759
