xRoadEnd1,yRoadEnd1,xRoadEnd2,xRoadEnd2,xTrack,yTrack
479.71,542.38,481.71,544.38,480.71,543.38
479.28,546.41,481.28,548.41,480.28,547.41
478.84,550.43,480.84,552.43,479.84,551.43
478.41,554.45,480.41,556.45,479.41,555.45
477.98,558.48,479.98,560.48,478.98,559.48
477.54,562.5,479.54,564.5,478.54,563.5
477.11,566.53,479.11,568.53,478.11,567.53
476.68,570.55,478.68,572.55,477.68,571.55
476.24,574.58,478.24,576.58,477.24,575.58
475.81,578.6,477.81,580.6,476.81,579.6
475.38,582.63,477.38,584.63,476.38,583.63
474.94,586.65,476.94,588.65,475.94,587.65
474.51,590.67,476.51,592.67,475.51,591.67
474.08,594.7,476.08,596.7,475.08,595.7
473.64,598.72,475.64,600.72,474.64,599.72
473.21,602.75,475.21,604.75,474.21,603.75
472.78,606.77,474.78,608.77,473.78,607.77
472.34,610.8,474.34,612.8,473.34,611.8
471.91,614.82,473.91,616.82,472.91,615.82
475.52,619.21,477.52,621.21,476.52,620.21
479.57,619.58,481.57,621.58,480.57,620.58
483.62,619.95,485.62,621.95,484.62,620.95
487.66,620.31,489.66,622.31,488.66,621.31
491.71,620.68,493.71,622.68,492.71,621.68
495.76,621.05,497.76,623.05,496.76,622.05
499.8,621.41,501.8,623.41,500.8,622.41
503.85,621.78,505.85,623.78,504.85,622.78
507.9,622.15,509.9,624.15,508.9,623.15
511.94,622.51,513.94,624.51,512.94,623.51
515.99,622.88,517.99,624.88,516.99,623.88
520.04,623.25,522.04,625.25,521.04,624.25
524.08,623.61,526.08,625.61,525.08,624.61
528.13,623.98,530.13,625.98,529.13,624.98
532.18,624.35,534.18,626.35,533.18,625.35
536.23,624.71,538.23,626.71,537.23,625.71
540.27,625.08,542.27,627.08,541.27,626.08
544.32,625.45,546.32,627.45,545.32,626.45
548.37,625.81,550.37,627.81,549.37,626.81
552.41,626.18,554.41,628.18,553.41,627.18
556.46,626.55,558.46,628.55,557.46,627.55
560.51,626.91,562.51,628.91,561.51,627.91
564.55,627.28,566.55,629.28,565.55,628.28
568.6,627.65,570.6,629.65,569.6,628.65
572.65,628.01,574.65,630.01,573.65,629.01
576.69,628.38,578.69,630.38,577.69,629.38
580.74,628.75,582.74,630.75,581.74,629.75
