Acceleration,Steering angle
0,0
-0.3993,-0.032206
-0.033553,0.025651
-0.41909,-0.0080197
-0.48047,-0.043423
-0.42801,-0.00037085
-0.52215,-0.048806
-0.32762,-0.036282
0.013932,-0.010798
0.013917,-0.011212
0.014407,-0.010498
0.014842,-0.014019
0.0069843,0.0097023
-0.11663,-0.035723
0.0038192,-0.012377
0.018901,-0.0029217
0.018903,-0.0030073
0.018878,-0.0029233
0.018634,-0.0027711
0.018396,-0.0027524
0.13687,-0.0012167
0.018228,-0.0019541
0,0
0,0
0,0
0,0
0,0
1.6853e-05,-6.734e-06
0.19534,-0.0011604
0.11577,0.01269
-0.39226,-0.08101
-0.031371,0.026637
0.014051,-0.017811
0.01359,-0.017826
0.0133,-0.017886
0.013358,-0.01785
0.013351,-0.017946
0.012861,-0.017973
0.013324,-0.017947
0.013032,-0.017972
0.012715,-0.018014
0.01241,-0.017978
0.013007,-0.018005
0.012641,-0.018008
0.012383,-0.017973
2.764,-0.081015
0.078197,0.01538
-0.33557,0.028485
2.9832,-0.16107
0.82268,0.066286
-0.15331,0.095134
1.6729,0.025883
-0.79192,-0.01729
-2.995,-0.42417
-2.9061,-0.17357
0.12817,-0.11081
2.6064,0.00018021
2.6593,-0.25621
2.7821,0.095013
2.9332,0.42657
2.8678,0.39394
-2.9966,0.43619
2.9607,0.36317
-2.9994,0.24117
-2.9735,-0.07053
-2.9944,0.045751
-2.9064,-0.27341
-2.9957,-0.11892
-0.54006,-0.018958
-0.51491,-0.02573
-0.37024,-0.049714
0.0014965,-0.012631
0.017132,-0.0032956
0,0
-0.19272,-0.016681
0.079939,-0.0041534
0.060728,-0.0052626
0,0
0,0
-0.27498,-0.013959
0.02104,-0.0030157
0,0
0,0
0,0
0,0
0,0
0.0087399,-0.01343
0.021368,-0.0029105
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.19458,-0.0087281
0.022402,-0.0045003
0.021319,-0.002875
0.20493,-0.0058885
-0.21463,-0.039007
0.0046332,-0.009698
0.021237,-0.0029103
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.011593,-0.0081607
-0.23593,-0.016694
-0.15906,-0.012805
0.030939,-0.0069298
-0.075884,-0.030034
-0.34384,-0.046125
-0.38102,-0.02385
0.40224,-0.0037894
2.9695,-0.28818
-2.9664,-0.43566
2.9904,-0.184
-2.9113,-0.43537
2.3797,-0.18507
-2.9974,-0.43595
2.9649,-0.05869
-2.9939,-0.43621
0.041258,0.40563
-2.9902,-0.43544
-2.6764,0.1012
